Date,Total applications,Total individuals,Priority applications,Priority individuals
31/12/2019,13877,,1748,
31/08/2020,14890,,2097,
31/03/2021,16386,,2946,
30/04/2021,16660,,3062,
31/05/2021,16949,,3220,
30/06/2021,17194,,3354,
31/07/2021,17320,,3478,
31/08/2021,17480,30394,3548,7065
30/09/2021,17689,30774,3646,7438
31/10/2021,17824,31114,3683,7438
30/11/2021,18091,31547,3716,7518
31/12/2021,18229,31768,3759,7616
31/01/2022,18388,32067,3762,7603
28/02/2022,18630,32609,3851,7786
31/03/2022,18738,32873,3952,8006
30/04/2022,18837,33084,4005,8105
31/05/2022,18936,33354,4064,8219
30/06/2022,19070,33563,4141,8374
31/07/2022,19103,33644,4212,8519
31/08/2022,18993,33495,4235,8597
30/09/2022,18975,33535,4257,8685
31/10/2022,19020,33759,4377,8884
30/11/2022,19036,33890,4484,9061
31/12/2022,18986,33778,4451,8969
31/01/2023,18986,33806,4486,9016
28/02/2023,18963,33884,4541,9120
30/04/2023,19195,34201,4671,9261
30/06/2023,19062,33986,4770,9423
31/07/2023,18984,33943,4768,9447
30/09/2023,19114,34117,4875,9568
31/12/2023,19574,34884,5072,9912
